\Box □
\Bumpeq ≎
\Cap ⋒
\Cup ⋓
\Delta Δ
\Diamond ◇
\Downarrow ⇓
\Finv Ⅎ
\Gamma Γ
\Im ℑ
\Join ⋈
\Lambda Λ
\Leftarrow ⇐
\Leftrightarrow ⇔
\Lleftarrow ⇚
\Longleftarrow ⇐
\Longleftrightarrow ⇔
\Longrightarrow ⇒
\Lsh ↰
\Omega Ω
\Phi Φ
\Pi Π
\Psi Ψ
\Re ℜ
\Rightarrow ⇒
\Rrightarrow ⇛
\Rsh ↱
\Subset ⋐
\Supset ⋑
\Theta Θ
\Uparrow ⇑
\Updownarrow ⇕
\Upsilon Υ
\Vdash ⊩
\Vvdash ⊪
\Xi Ξ
\aleph ℵ
\alpha α
\angle ∠
\approx ≈
\approxeq ≊
\ast ∗
\asymp ≍
\backepsilon ∍
\backprime ‵
\backsim ∽
\barwedge ⊼
\because ∵
\beta β
\beth ℶ
\between ≬
\bigcap ⋂
\bigcirc ○
\bigcup ⋃
\bigodot ⊙
\bigoplus ⊕
\bigotimes ⊗
\bigsqcup ⊔
\bigstar ★
\bigtriangledown ▽
\bigtriangleup △
\biguplus ⊎
\bigvee ⋁
\bigwedge ⋀
\blacklozenge ◆
\blacksquare ■
\blacktriangle ▲
\blacktriangledown ▼
\blacktriangleleft ◀
\blacktriangleright ▷
\bot ⊥
\bowtie ⋈
\boxdot ⊡
\boxminus ⊟
\boxplus ⊞
\boxtimes ⊠
\bullet ∙
\bumpeq ≏
\cap ∩
\cdot ⋅
\cdots ⋯
\centerdot ⋅
\cents ¢
\chi χ
\circ ∘
\circeq ≗
\circlearrowleft ↺
\circlearrowright ↻
\circledS Ⓢ
\circledast ⊛
\circledcirc ⊚
\circleddash ⊝
\clubsuit ♣
\complement ∁
\cong ≅
\coprod ∐
\copyright ©
\cup ∪
\curlyeqprec ⋞
\curlyeqsucc ⋟
\curlyvee ⋎
\curlywedge ⋏
\curvearrowleft ↶
\curvearrowright ↷
\dagger †
\daleth ℸ
\dashleftarrow ⇠
\dashrightarrow ⇢
\dashv ⊣
\ddagger ‡
\ddots ⋱
\degree °
\delta δ
\diamond ⋄
\diamondsuit ♢
\digamma Ϝ
\div ÷
\divideontimes ⋇
\doteq ≐
\doteqdot ≑
\dotplus ∔
\ldots …
\downarrow ↓
\downdownarrows ⇊
\downharpoonleft ⇃
\downharpoonright ⇂
\ell ℓ
\emptyset ∅
\epsilon ∊
\eqcirc ≖
\equiv ≡
\eta η
\eth ð
\euro €
\exists ∃
\fallingdotseq ≒
\flat ♭
\forall ∀
\frown ⌢
\gamma γ
\ge ≥
\geqq ≧
\gg ≫
\ggg ⋙
\gimel ℷ
\gtrdot ⋗
\gtreqless ⋛
\gtrless ≷
\gtrsim ≳
\hbar ℏ
\heartsuit ♡
\hookleftarrow ↩
\hookrightarrow ↪
\hslash ℏ
\implies ⇒
\in ∈
\infty ∞
\int ∫
\intercal ⊺
\iota ι
\kappa κ
\lambda λ
\langle ⟨
